trade_id,timestamp,contract,action,price,volume,offset,commission,fee,quote,pr_long,pr_short,ta_long,ta_short,eg_long,eg_short,flag
10,2025-05-07 09:17:59.174737,PR506,SELL,5836.0,12,OPEN,10.227599999999995,466.9960000000001,5836,0,12,0,0,0,0,0
10,2025-05-07 09:17:59.199342,TA506,BUY,4604.0,30,OPEN,90.00000000000006,466.9960000000001,4604,0,12,30,0,0,0,0
10,2025-05-07 09:17:59.262841,eg2506,BUY,4254.0,6,OPEN,24.0,466.9960000000001,4254,0,12,30,0,6,0,0
11,2025-05-07 09:19:59.509636,PR506,SELL,5834.0,2,OPEN,1.7046000000000276,470.473,5834,0,14,30,0,6,0,0
11,2025-05-07 09:20:01.888082,TA506,BUY,4596.0,5,OPEN,15.0,470.473,4596,0,14,35,0,6,0,0
11,2025-05-07 09:20:01.995215,eg2506,BUY,4253.0,1,OPEN,4.0,470.473,4253,0,14,35,0,7,0,0
12,2025-05-07 09:40:07.684831,PR506,SELL,5788.0,4,OPEN,3.409200000000056,480.4169999999999,5790,0,18,35,0,7,0,0
12,2025-05-07 09:40:07.714655,TA506,BUY,4546.0,10,OPEN,30.0,480.4169999999999,4546,0,18,45,0,7,0,0
12,2025-05-07 09:40:07.829216,eg2506,BUY,4225.0,2,OPEN,8.0,480.4169999999999,4226,0,18,45,0,9,0,0
13,2025-05-07 14:24:52.603267,PR506,BUY,5774.0,4,CLOSE,3.409200000000056,469.5690000000002,5772,0,14,45,0,9,0,0
13,2025-05-07 14:24:52.635265,TA506,SELL,4538.0,10,CLOSE,30.0,469.5690000000002,4538,0,14,35,0,9,0,0
13,2025-05-07 14:24:52.696329,eg2506,SELL,4219.0,2,CLOSE,8.0,469.5690000000002,4219,0,14,35,0,7,0,0
