trade_id,timestamp,contract,action,price,volume,offset,commission,fee,quote,pr_long,pr_short,ta_long,ta_short,eg_long,eg_short,flag
48ee0fab-e05a-4dee-a935-d8485a8322ed,2025-05-16 14:25:51.903806,PR507,SELL,6088.0,70,OPEN,64.617,410.0029999999997,6088,0,70,0,0,0,0,0
48ee0fab-e05a-4dee-a935-d8485a8322ed,2025-05-16 14:25:51.926287,TA507,BUY,4866.0,180,OPEN,540.0,410.0029999999997,4864,0,70,180,0,0,0,0
48ee0fab-e05a-4dee-a935-d8485a8322ed,2025-05-16 14:25:52.051021,eg2507,BUY,4501.0,35,OPEN,140.0,410.0029999999997,4498,0,70,180,0,35,0,0
9819739f-e589-4040-8ac4-b3940c54c13a,2025-05-16 14:40:01.394940,PR507,BUY,6076.0,70,CLOSE,64.61699999999996,399.3919999999996,6074,0,0,180,0,35,0,0
9819739f-e589-4040-8ac4-b3940c54c13a,2025-05-16 14:40:01.416615,TA507,SELL,4862.0,180,CLOSE,539.9999999999999,399.3919999999996,4866,0,0,0,0,35,0,0
9819739f-e589-4040-8ac4-b3940c54c13a,2025-05-16 14:40:01.491098,eg2507,SELL,4496.0,35,CLOSE,140.0,399.3919999999996,4499,0,0,0,0,0,0,0
