timestamp,total_profit,float_profit,today_close_profit,history_close_profit,total_close_profit,pr_long,pr_short,pr_avg_price,ta_long,ta_short,ta_avg_price,eg_long,eg_short,eg_avg_price
2025-05-07 09:16:01.493098,-1089.06,,0.00,0,0.00,0,10,5748.00,25,0,4508.00,5,0,4260.00
2025-05-07 09:17:20.863795,,,0.00,0,0.00,0,12,5750.00,30,0,4509.67,6,0,4260.33
2025-05-07 10:13:58.201333,-1089.06,,0.00,0,0.00,0,14,5744.29,35,0,4502.86,7,0,4254.86
2025-05-08 11:16:08.299318,,,226.00,0,226.00,0,12,5750.00,30,0,4509.67,6,0,4260.33
2025-05-08 14:45:12.402360,999,700,299.00,0,299.00,0,10,5748.00,25,0,4508.00,5,0,4260.00
2025-05-09 09:32:39.123493,,,1334.00,0,1334.00,0,8,5748.00,20,0,4508.00,4,0,4260.00
2025-05-09 10:45:34.664725,,,1334.00,0,1334.00,0,10,5754.80,25,0,4521.20,5,0,4251.00
2025-05-09 13:53:53.805735,2328,1008,1320.00,0,1320.00,0,8,5748.00,20,0,4508.00,4,0,4260.00
2025-05-12 13:53:53.805735,5601,1008,1320.00,0,1320.00,0,8,5748.00,20,0,4508.00,4,0,4260.00
2025-05-13 09:06:46.186874,,,5185.00,0,5185.00,0,6,5748.00,15,0,4508.00,3,0,4260.00
2025-05-13 10:08:20.558425,,,8805.00,0,8805.00,0,4,5748.00,10,0,4508.00,2,0,4260.00
2025-05-13 10:51:05.048807,10726.5,1921.95,8805.00,0,8805.00,0,6,5802.00,15,0,4572.67,3,0,4283.00
2025-05-14 09:22:33.302796,,,7607.00,8805,16412.00,0,2,5748.00,5,0,4508.00,1,0,4260.00
2025-05-14 10:56:58.309416,,,7607.00,8805,16412.00,0,4,5917.00,10,0,4681.00,2,0,4380.50
2025-05-14 13:43:12.865849,17865.00,1371.00	,7689.00,8805,16494.00,0,2,5748.00,5,0,4508.00,1,0,4260.00
2025-05-14 14:58:31.415161,17864.00,1370,7689.00,8805,16494.00,0,4,5924.00,10,0,4689.00,2,0,4378.00
2025-05-15 09:00:00.522100,,,-187,16494,16307.00,0,2,5748.00,5,0,4508.00,1,0,4260.00
2025-05-15 09:00:00.712743,,,-187,16494,16307.00,0,6,5965.33,15,0,4722.67,3,0,4404.67
2025-05-15 09:00:13.494841,,,-187,16494,16307.00,0,8,5995.50,20,0,4751.00,4,0,4424.00
2025-05-15 09:11:31.489220,,,-163,16494,16331.00,0,6,5965.33,15,0,4722.67,3,0,4404.67
2025-05-15 09:13:41.984242,,,-109,16494,16385.00,0,4,3037.00,10,0,2415.00,2,0,2238.50
2025-05-15 09:38:36.015341,,,-109,16494,16385.00,0,6,4044.67,15,0,3216.00,3,0,2985.00
2025-05-15 09:53:30.780327,32588,16203,-109,16494,16385.00,0,8,4544.00,20,0,3611.50,4,0,3350.75
2025-05-16 13:37:12.332136,32133,15748,0,16385,16385.00,0,10,4842.80,25,0,3843.60,5,0,3576.00
