trade_id,timestamp,contract,action,price,volume,offset,commission,fee,quote,pr_long,pr_short,ta_long,ta_short,eg_long,eg_short,flag
241c1274-fcae-45fe-999c-97caf64f8250,2025-05-14 09:22:33.302796,PR509,BUY,6092.0,4,CLOSE,3.6036,407.443,6092,0,2,15,0,3,0,0
241c1274-fcae-45fe-999c-97caf64f8250,2025-05-14 09:22:33.341642,TA509,SELL,4876.0,10,CLOSE,30.0,407.443,4878,0,2,5,0,3,0,0
241c1274-fcae-45fe-999c-97caf64f8250,2025-05-14 09:22:33.379193,eg2509,SELL,4495.0,2,CLOSE,8.0,407.443,4496,0,2,5,0,1,0,0
675bf166-cbe6-4cb7-be0e-d5090837ecb1,2025-05-14 10:56:58.309416,PR509,SELL,6086.0,2,OPEN,1.8018,420.28700000000026,6088,0,4,5,0,1,0,0
675bf166-cbe6-4cb7-be0e-d5090837ecb1,2025-05-14 10:56:58.343713,TA509,BUY,4854.0,5,OPEN,15.0,420.28700000000026,4852,0,4,10,0,1,0,0
675bf166-cbe6-4cb7-be0e-d5090837ecb1,2025-05-14 10:56:58.421883,eg2509,BUY,4501.0,1,OPEN,4.0,420.28700000000026,4500,0,4,10,0,2,0,0
511387d6-43ac-4590-bc2a-040fa59977bb,2025-05-14 13:43:12.865849,PR509,BUY,6104.0,2,CLOSE,1.8018,409.8449999999998,6104,0,2,10,0,2,0,0
511387d6-43ac-4590-bc2a-040fa59977bb,2025-05-14 13:43:12.893989,TA509,SELL,4870.0,5,CLOSE,15.0,409.8449999999998,4872,0,2,5,0,2,0,0
511387d6-43ac-4590-bc2a-040fa59977bb,2025-05-14 13:43:12.974486,eg2509,SELL,4539.0,1,CLOSE,4.0,409.8449999999998,4540,0,2,5,0,1,0,0
53442b37-fe11-4150-b050-2860c1efa2cd,2025-05-14 14:58:31.415161,PR509,SELL,6100.0,2,OPEN,1.8018,420.2499999999998,6100,0,4,5,0,1,0,0
53442b37-fe11-4150-b050-2860c1efa2cd,2025-05-14 14:58:31.460822,TA509,BUY,4870.0,5,OPEN,15.0,420.2499999999998,4868,0,4,10,0,1,0,0
53442b37-fe11-4150-b050-2860c1efa2cd,2025-05-14 14:58:31.522188,eg2509,BUY,4496.0,1,OPEN,4.0,420.2499999999998,4495,0,4,10,0,2,0,0
